gene_symbol,pathogenic,likely_pathogenic,uncertain_significance,likely_benign,benign,association,not_provided,other_or_unclassified
SORD,4,2,3,0,0,0,0,84
COX6B1,0,0,0,0,0,0,0,6
ATM,501,48,22,4,0,0,0,195
BBS1,44,16,1,1,0,0,0,71
TRIM32,19,3,1,1,0,0,0,55
TREX1,25,0,4,0,0,0,1,44
TSFM,21,8,2,2,0,0,0,53
COX6A1,0,2,2,0,0,0,0,21
HMGCL,22,10,0,0,0,0,0,25
ERCC5,18,11,3,0,0,0,0,151
TYR,60,8,2,0,0,0,2,77
GMPPB,16,2,2,0,0,0,0,64
LMOD2,3,0,1,0,0,0,0,68
IFT80,18,10,4,0,0,0,0,137
CORO1A,4,0,0,1,0,0,0,48
ROGDI,17,5,2,0,0,0,0,60
AGA,21,8,2,0,0,0,0,50
PNPO,9,5,3,1,0,0,0,48
TMEM216,9,7,3,0,0,0,0,20
RFX5,10,7,2,0,0,0,0,47
ESPN,3,5,4,1,0,0,0,277
PKD1,99,1,2,1,0,0,0,219
ALX1,1,0,0,0,0,0,0,30
AP1B1,1,0,0,0,0,0,0,88
XPA,28,11,3,1,0,0,0,41
DNAH8,45,20,5,2,1,0,0,792
ALDH7A1,43,4,6,0,0,0,0,92
IFT172,39,28,3,3,0,0,0,272
PRKDC,0,0,7,1,0,0,0,202
NUBPL,3,2,2,0,0,0,0,83
PHKB,27,14,5,4,0,0,0,204
CYP7B1,23,0,0,0,0,0,0,54
MYPN,14,6,6,1,0,0,0,126
KDSR,1,1,0,0,0,0,0,50
ADGRG1,25,5,1,0,0,0,0,86
PRODH,0,0,0,0,1,0,0,5
HGSNAT,37,6,2,0,0,0,0,79
